_id,OID,OBJECTID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Leng,Shape_Length,Shape_Area
61,-1,61,6,815,קריית עקרון,מגורים,3451,803691,מגורים,469,1,1,1,7,3,4,5,0,9,9,4,0,0,5,9,7.465556959370000,202304,4254.351612669999668,4254.351612672722695,803690.874325597658753
62,-1,62,14,2427,באר שבע,מגורים,4503,425791,מגורים,9000,1,0,2,25,2,2,18,7,27,26,0,0,0,21,26,32.880015661199998,202304,2843.367483879999781,2843.367483875177186,425790.551447716134135
63,-1,63,0,1441,דייר ראפאת גבעת שמש צרעה ישעי,מגורים+מוסדי,1836,20414042,מגורים,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,22800.734441199998400,22800.734441229309596,20414041.682770095765591
64,-1,64,8,392,רעננה,מגורים,3868,242682,מגורים,8700,1,0,0,9,3,0,6,3,9,12,2,0,0,6,12,32.964928297000000,202304,2093.824279099999785,2093.824279100157582,242682.159897811885457
65,-1,65,15,1059,ירושלים,מגורים,5549,380336,מגורים,3000,1,0,1,22,7,6,15,2,23,22,4,0,0,13,22,39.438850342800002,202304,3584.469548800000211,3584.469548801222118,380335.630213025433477
66,-1,66,30,10,תל אביב -יפו,מגורים,6204,697440,מגורים,5000,1,2,6,35,6,5,27,11,43,56,9,0,2,35,56,43.014468770900002,202304,4784.687852189999830,4784.687852188391844,697439.741957918391563
67,-1,67,5,1701,חיפה,מגורים,5033,289178,מגורים,4000,1,0,0,5,2,2,2,1,5,12,2,0,0,10,12,17.290369077600001,202304,2390.180193910000071,2390.180193914125539,289178.326822070637718
68,-1,68,48,652,כפר סבא,תעשיה,0,927334,תעשיה/מסחר/מתקנים,6900,4,0,2,73,8,6,59,10,75,92,10,0,2,69,92,51.761286572800003,202304,5775.978781540000455,5775.978781535558483,927333.982174035045318
69,-1,69,17,2264,בנימינה-גבעת עדה*,מגורים,4379,12007929,מגורים,0,1,0,4,26,0,7,20,3,30,30,0,2,0,24,30,1.415731247360000,202304,19375.652612699999736,19375.652612706249784,12007928.787097169086337
70,-1,70,0,1294,מעלה אדומים,מגורים,2416,373034,מגורים,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,2817.953901500000029,2817.953901495995979,373033.872543741890695
